Day,Article No,Theme,Difficulty,Instruction,Article Title,Article Text,Vocab1,Vocab2,Vocab3,Vocab4,Vocab5,Vocab6,Vocab7,Vocab8,Vocab9,Vocab10,Vocab11,Vocab12,Vocab13,Vocab14,Vocab15,Vocab16,Vocab17,Vocab18,Vocab19,Vocab20,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10,Word Count
1,1,Teacher Identity,Very Simple,Start with a warm smile. Use your right hand when saying teacher and future. Maintain eye contact.,A Teacher Can Change a Life,"A teacher is not just a person who teaches subjects. A teacher shapes lives every single day. When you enter your classroom, you carry a responsibility that is much bigger than completing lessons. You are building confidence, character, and dreams. Many students come to school with fear, hesitation, or self-doubt. Some believe they are not intelligent. Some feel they cannot succeed. At that moment, your words become powerful. Imagine a student sitting quietly in the last row. He does not speak because he feels he is not good enough. One day, you look at him and say, I believe in you. That one sentence can change his thinking forever. Teaching is not only about books. It is about understanding students and guiding them. Students may forget the lesson, but they will always remember how you made them feel. A kind teacher builds confidence. A patient teacher builds courage. A supportive teacher builds success. There will be days when students do not listen. There will be days when you feel tired. But your effort matters. Every word, every smile, every correction creates impact. Tomorrow, when you walk into your classroom, remember one thing. You are not just teaching. You are shaping a life. Your role is powerful, and your influence is lasting. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
1,2,Classroom Behaviour,Very Simple,Use a calm tone. Keep your face relaxed. Use hand gestures when saying behavior and example.,Students Learn from Your Behavior,"Students do not only listen to your words. They observe everything you do. Your behavior becomes a lesson for them every day. If you speak politely, they learn politeness. If you stay calm, they learn patience. If you show respect, they learn respect. A teacher is always being observed. Imagine you enter the classroom with a smile. The atmosphere becomes positive. Students feel comfortable and ready to learn. Now imagine entering with anger. The class becomes silent, but students feel afraid. They may listen, but they will not connect. Teaching is not about controlling students. It is about connecting with them. When a student makes a mistake, your reaction matters. If you say, It is okay, try again, the student feels safe. But if you react harshly, the student may stop trying. A positive classroom helps students learn better. Your tone, your expressions, and your behavior create that environment. A good teacher leads by example. Be the person you want your students to become. Show patience, kindness, and discipline. Over time, your students will reflect your behavior. Remember, teaching is not only about lessons. It is about values, habits, and influence. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A teacher’s words may look small, but they can stay in a student’s heart for many years. When teachers speak with patience, students feel safe to try. When teachers speak with respect, students learn dignity. This daily practice is not only English practice; it is a practice of becoming a stronger educator. A",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
2,1,Emotional Connection,Very Simple,Speak softly. Pause before emotional lines. Use gentle facial expressions.,When a Teacher Truly Listens,"A classroom is not only a place where lessons are taught. It is also a place where emotions live. Every student comes with different feelings. Some are happy, some are confused, and some are silent. A good teacher does not only speak. A good teacher listens. Imagine a quiet student sitting alone. Instead of asking, Why are you not speaking, ask, Are you okay? This simple question can open a child’s heart. Listening builds trust. When students feel heard, they feel important. And when they feel important, they begin to participate. Sometimes students do not need solutions. They only need someone to listen. Even one minute of attention can change their day. A caring teacher builds strong relationships. When students trust you, they learn better. They feel safe to ask questions and express themselves. Listening is not a small skill. It is a powerful tool. Tomorrow, when you enter your classroom, do not only focus on teaching. Focus on understanding. Listen with patience, respond with kindness, and connect with your students. This will make you not just a teacher, but a mentor in their lives. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
2,2,Parent Communication,Very Simple,Stand straight. Use confident tone. Gesture when saying parents and support.,Talking to Parents with Confidence,"A teacher’s role does not end in the classroom. It also includes communication with parents. Parents want to know how their child is performing, behaving, and improving. Many teachers feel nervous when speaking to parents. They worry about negative reactions. But communication is not about fear. It is about clarity and respect. When you speak to parents, use simple and positive language. Instead of saying, Your child is weak, say, Your child needs more support in this area. This builds trust. Always begin with something positive. Then discuss areas of improvement. Parents appreciate honesty, but they also value respect. Teachers and parents are partners. Together, they can support the child’s growth. Speak calmly and confidently. Maintain eye contact and listen carefully. When parents feel respected, they trust you more. This trust helps students grow better. Tomorrow, when you speak to parents, remember that your words can build a strong partnership for the child’s future. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can guide them with simple words. Respectful communication reduces fear and builds partnership. When home and school work together, the child feels surrounded by care, discipline, and hope. Parents may not always know how to support learning, but teachers can",Parent (PAIR-ent) – अभिभावक,Communicate (kuh-MYOO-ni-kayt) – संवाद करना,Support (suh-PORT) – सहयोग,Progress (PROG-res) – प्रगति,Respect (ri-SPEKT) – सम्मान,Trust (TRUHST) – विश्वास,Positive (POZ-i-tiv) – सकारात्मक,Improvement (im-PROOV-ment) – सुधार,Partnership (PART-nur-ship) – साझेदारी,Concern (kun-SURN) – चिंता,Guidance (GIE-duhns) – मार्गदर्शन,Confidence (KON-fi-duhns) – आत्मविश्वास,Attendance (uh-TEN-dens) – उपस्थिति,Learning (LUR-ning) – सीखना,Home (HOHM) – घर,Feedback (FEED-bak) – प्रतिक्रिया,Clarity (KLAR-i-tee) – स्पष्टता,Effort (EF-urt) – प्रयास,Growth (GROTH) – विकास,Future (FYOO-chur) – भविष्य,Your child is doing well.,Your child needs more practice.,Please support learning at home.,Let us work together.,I appreciate your time.,We will monitor progress.,Please ensure regular attendance.,Encourage reading at home.,We can set small goals.,Thank you for your support.,400
3,1,Student Confidence,Very Simple,Use a reassuring tone. Smile when saying confidence. Maintain strong eye contact.,Helping Quiet Students Speak,"In every classroom, there are some students who speak confidently and some who remain silent. Quiet students are not weak. They are often thoughtful, but they need encouragement. A good teacher notices them and supports them. When you ask a question, do not always choose the fastest student. Look at a quiet student and say, Take your time, I would like to hear your answer. This builds confidence. Many students fear making mistakes. They think others will laugh at them. It is your responsibility to create a safe environment where mistakes are accepted. Tell students that mistakes are part of learning. Start with small activities like pair discussions. Then move to group discussions. Slowly, ask them to speak in front of the class. Appreciate effort, not only correct answers. Say, Good try, you are improving. Confidence does not come in one day. It grows step by step. Your encouragement is the key. Tomorrow, try to bring one quiet student into the conversation. That small step can change their future. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
3,2,Community Connection,Very Simple,Use a strong tone. Open both hands when saying community.,A Teacher’s Impact Beyond the Classroom,"A teacher’s role does not end inside the classroom. It goes beyond, into families and the community. When a child learns something new, they often share it at home. This creates a ripple effect. A lesson taught in school can influence an entire family. For example, when you teach cleanliness, students may encourage their parents to keep the surroundings clean. When you teach respect, it reflects in their behavior at home. This is the real power of education. Teachers are not just educators; they are change-makers. In many rural areas, teachers are respected leaders. Your words carry weight. When you communicate with parents and the community, you build trust. A strong relationship between school and community improves attendance, discipline, and learning outcomes. Organize small meetings with parents. Share student progress. Encourage parents to support learning at home. Even simple communication can create a big impact. Tomorrow, remember that your influence is not limited to your classroom. You are shaping the future of the entire community. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen, students feel proud, and society begins to value education more deeply. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen, students feel proud, and society begins to value education more deeply. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen, students feel proud, and society begins to value education more deeply. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen, students feel proud, and society begins to value education more deeply. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen, students feel proud, and society begins to value education more deeply. A school becomes stronger when the community trusts it. Teachers are important voices in that relationship. Their language should be respectful, clear, and hopeful. When teachers speak well, parents listen,",Community (kuh-MYOO-ni-tee) – समुदाय,Development (di-VEL-up-ment) – विकास,Awareness (uh-WAIR-nes) – जागरूकता,Education (ej-oo-KAY-shun) – शिक्षा,Respect (ri-SPEKT) – सम्मान,Cleanliness (KLEN-lee-nes) – स्वच्छता,Discipline (DIS-uh-plin) – अनुशासन,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Trust (TRUHST) – विश्वास,Impact (IM-pakt) – प्रभाव,Influence (IN-floo-ens) – प्रभाव,Parents (PAIR-ents) – अभिभावक,Support (suh-PORT) – सहयोग,Progress (PROG-res) – प्रगति,Society (suh-SY-uh-tee) – समाज,Leadership (LEE-dur-ship) – नेतृत्व,Relationship (ri-LAY-shun-ship) – संबंध,Change (CHAYNJ) – बदलाव,Guidance (GIE-duhns) – मार्गदर्शन,Future (FYOO-chur) – भविष्य,Education is important for everyone.,School helps the whole community.,Please support children’s learning.,Clean surroundings help students.,Let us work together.,Parents are our partners.,Respect education.,Build good habits.,Support the school.,We can improve together.,400
4,1,Discipline,Very Simple,Use a firm tone. Use hand gesture when saying discipline.,Discipline Builds Success,"Discipline is one of the most important qualities a student can develop. It helps students stay focused, organized, and responsible. A disciplined classroom creates a better learning environment. When students follow rules, listen carefully, and complete their work on time, learning becomes smooth and effective. Teachers play a key role in building discipline. Start with simple rules like sitting properly, raising hands, and respecting others. Explain why these rules are important. When students understand the reason, they follow them more willingly. Discipline is not about fear or punishment. It is about responsibility and self-control. Be consistent in your approach. If rules change every day, students become confused. Appreciate students who follow discipline. Positive reinforcement works better than punishment. Over time, discipline becomes a habit. This habit helps students succeed not only in school but also in life. Tomorrow, focus on one simple rule and ensure everyone follows it. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to",Discipline (DIS-uh-plin) – अनुशासन,Rule (ROOL) – नियम,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Focus (FOH-kus) – ध्यान,Routine (roo-TEEN) – दिनचर्या,Habit (HAB-it) – आदत,Consistency (kun-SIS-ten-see) – निरंतरता,Organized (OR-guh-nyzd) – व्यवस्थित,Control (kun-TROHL) – नियंत्रण,Respect (ri-SPEKT) – सम्मान,Instruction (in-STRUK-shun) – निर्देश,Peaceful (PEES-ful) – शांत,Productive (pruh-DUK-tiv) – उत्पादक,Behavior (bi-HAY-vyor) – व्यवहार,Purpose (PUR-pus) – उद्देश्य,Time (TYM) – समय,Practice (PRAK-tis) – अभ्यास,Success (suk-SESS) – सफलता,Self-control (self kun-TROHL) – आत्म-नियंत्रण,Order (OR-der) – व्यवस्था,Follow the rule.,Raise your hand before speaking.,Listen carefully.,Sit properly.,Respect others.,Do not interrupt.,Stay focused.,Follow instructions.,Maintain discipline.,Be responsible.,400
4,2,Motivation,Very Simple,Use an energetic tone. Smile when saying success.,Never Give Up,"Every student faces challenges in learning. Some lessons are difficult. Some concepts take time. Some students feel like giving up. At this moment, a teacher’s role becomes very important. You must remind students that failure is not the end. It is part of learning. When a student gives a wrong answer, do not say wrong. Say, Try again, you are learning. This small change builds confidence. Motivation is not only for top students. Every student needs encouragement. Notice small improvements. Appreciate effort. Even a small step forward is progress. Teach students that success comes from consistent effort, not talent alone. A student who practices daily will improve faster than a student who studies occasionally. Use real-life examples to inspire students. Show them that hard work leads to success. Tomorrow, motivate your students with your words. Your encouragement can change their mindset. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher",Motivation (moh-ti-VAY-shun) – प्रेरणा,Effort (EF-urt) – प्रयास,Progress (PROG-res) – प्रगति,Confidence (KON-fi-duhns) – आत्मविश्वास,Success (suk-SESS) – सफलता,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Believe (bi-LEEV) – विश्वास करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Challenge (CHAL-inj) – चुनौती,Failure (FAYL-yer) – असफलता,Try (TRY) – प्रयास करना,Encourage (en-KUR-ij) – प्रोत्साहित करना,Mindset (MYND-set) – मानसिकता,Consistency (kun-SIS-ten-see) – निरंतरता,Talent (TAL-ent) – प्रतिभा,Focus (FOH-kus) – ध्यान,Hope (HOHP) – आशा,Persist (per-SIST) – डटे रहना,Try again.,Do not give up.,Keep practicing.,You can improve.,Stay positive.,Work hard every day.,Believe in yourself.,Keep learning.,Success will come.,Never stop trying.,400
5,1,Classroom Motivation,Very Simple,Use energetic tone. Gesture on effort and progress.,Small Efforts Create Big Change,"Many students think that success comes only to intelligent people. They believe that if they are not naturally good at studies, they cannot improve. This is not true. Success comes from small, consistent efforts. As a teacher, you must change this belief. Help students understand that progress is more important than perfection. When a student improves even slightly, appreciate it. Say, I can see your improvement. This motivates the student. Break large tasks into smaller steps. This makes learning easier. Encourage daily practice. Even fifteen minutes of focused study can create change. Students often compare themselves with others. Stop this comparison. Tell them to focus on their own growth. Consistency is more powerful than talent. A student who practices daily will always improve. Tomorrow, remind your students that small efforts create big success. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success",Motivation (moh-ti-VAY-shun) – प्रेरणा,Effort (EF-urt) – प्रयास,Progress (PROG-res) – प्रगति,Confidence (KON-fi-duhns) – आत्मविश्वास,Success (suk-SESS) – सफलता,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Believe (bi-LEEV) – विश्वास करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Challenge (CHAL-inj) – चुनौती,Failure (FAYL-yer) – असफलता,Try (TRY) – प्रयास करना,Encourage (en-KUR-ij) – प्रोत्साहित करना,Mindset (MYND-set) – मानसिकता,Consistency (kun-SIS-ten-see) – निरंतरता,Talent (TAL-ent) – प्रतिभा,Focus (FOH-kus) – ध्यान,Hope (HOHP) – आशा,Persist (per-SIST) – डटे रहना,Try again.,Do not give up.,Keep practicing.,You can improve.,Stay positive.,Work hard every day.,Believe in yourself.,Keep learning.,Success will come.,Never stop trying.,400
5,2,Student Respect,Very Simple,Use calm tone. Pause before key lines. Maintain eye contact.,Respect Builds Strong Classrooms,"Respect is the foundation of a strong classroom. When students feel respected, they become more confident and open to learning. A respectful teacher creates a safe environment. Students feel comfortable asking questions and expressing ideas. Respect is shown through simple actions. Listen when students speak. Do not interrupt. Speak politely. Treat every student equally. Avoid favoritism. When students make mistakes, correct them kindly. Do not insult or embarrass them. Respect also means understanding students’ feelings. Sometimes students behave badly because they are facing problems. Try to understand before reacting. A respectful classroom builds trust. And trust improves learning. As a teacher, you set the example. Your behavior teaches students how to treat others. Tomorrow, focus on showing respect in every interaction. Your classroom will become stronger and more positive. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
